dataset_index,relative_path,class_name,class_index,split
20034,eurosat/2750/Residential/Residential_238.jpg,Residential,7,train
24872,eurosat/2750/SeaLake/SeaLake_1784.jpg,SeaLake,9,train
20303,eurosat/2750/Residential/Residential_2621.jpg,Residential,7,train
2292,eurosat/2750/AnnualCrop/AnnualCrop_361.jpg,AnnualCrop,0,train
3221,eurosat/2750/Forest/Forest_1198.jpg,Forest,1,train
16014,eurosat/2750/PermanentCrop/PermanentCrop_1010.jpg,PermanentCrop,6,train
13071,eurosat/2750/Industrial/Industrial_2412.jpg,Industrial,4,train
2988,eurosat/2750/AnnualCrop/AnnualCrop_989.jpg,AnnualCrop,0,train
19480,eurosat/2750/Residential/Residential_1881.jpg,Residential,7,train
428,eurosat/2750/AnnualCrop/AnnualCrop_1384.jpg,AnnualCrop,0,train
10685,eurosat/2750/Highway/Highway_265.jpg,Highway,3,train
26971,eurosat/2750/SeaLake/SeaLake_973.jpg,SeaLake,9,train
15392,eurosat/2750/Pasture/Pasture_451.jpg,Pasture,5,train
23235,eurosat/2750/River/River_31.jpg,River,8,train
6967,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_187.jpg,HerbaceousVegetation,2,train
8883,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_894.jpg,HerbaceousVegetation,2,train
2905,eurosat/2750/AnnualCrop/AnnualCrop_913.jpg,AnnualCrop,0,train
3498,eurosat/2750/Forest/Forest_1447.jpg,Forest,1,train
4397,eurosat/2750/Forest/Forest_2256.jpg,Forest,1,train
8618,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_655.jpg,HerbaceousVegetation,2,train
10239,eurosat/2750/Highway/Highway_2113.jpg,Highway,3,train
8560,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_602.jpg,HerbaceousVegetation,2,train
18818,eurosat/2750/Residential/Residential_1285.jpg,Residential,7,train
20596,eurosat/2750/Residential/Residential_2886.jpg,Residential,7,train
10871,eurosat/2750/Highway/Highway_432.jpg,Highway,3,train
18247,eurosat/2750/PermanentCrop/PermanentCrop_771.jpg,PermanentCrop,6,train
26353,eurosat/2750/SeaLake/SeaLake_416.jpg,SeaLake,9,train
4669,eurosat/2750/Forest/Forest_2500.jpg,Forest,1,train
19221,eurosat/2750/Residential/Residential_1648.jpg,Residential,7,train
23114,eurosat/2750/River/River_2451.jpg,River,8,train
12287,eurosat/2750/Industrial/Industrial_1707.jpg,Industrial,4,train
8051,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_2845.jpg,HerbaceousVegetation,2,train
23510,eurosat/2750/River/River_558.jpg,River,8,train
1925,eurosat/2750/AnnualCrop/AnnualCrop_2731.jpg,AnnualCrop,0,train
11626,eurosat/2750/Industrial/Industrial_1111.jpg,Industrial,4,train
11846,eurosat/2750/Industrial/Industrial_131.jpg,Industrial,4,train
820,eurosat/2750/AnnualCrop/AnnualCrop_1737.jpg,AnnualCrop,0,train
24103,eurosat/2750/SeaLake/SeaLake_1091.jpg,SeaLake,9,train
18257,eurosat/2750/PermanentCrop/PermanentCrop_780.jpg,PermanentCrop,6,train
14690,eurosat/2750/Pasture/Pasture_162.jpg,Pasture,5,train
575,eurosat/2750/AnnualCrop/AnnualCrop_1516.jpg,AnnualCrop,0,train
16364,eurosat/2750/PermanentCrop/PermanentCrop_1326.jpg,PermanentCrop,6,train
5114,eurosat/2750/Forest/Forest_2901.jpg,Forest,1,train
11579,eurosat/2750/Industrial/Industrial_107.jpg,Industrial,4,train
22926,eurosat/2750/River/River_2282.jpg,River,8,train
10389,eurosat/2750/Highway/Highway_2249.jpg,Highway,3,train
6581,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_1521.jpg,HerbaceousVegetation,2,train
12640,eurosat/2750/Industrial/Industrial_2024.jpg,Industrial,4,train
26094,eurosat/2750/SeaLake/SeaLake_2884.jpg,SeaLake,9,train
23509,eurosat/2750/River/River_557.jpg,River,8,train
21645,eurosat/2750/River/River_1129.jpg,River,8,train
26422,eurosat/2750/SeaLake/SeaLake_479.jpg,SeaLake,9,train
12756,eurosat/2750/Industrial/Industrial_2129.jpg,Industrial,4,train
16634,eurosat/2750/PermanentCrop/PermanentCrop_157.jpg,PermanentCrop,6,train
26498,eurosat/2750/SeaLake/SeaLake_547.jpg,SeaLake,9,train
24323,eurosat/2750/SeaLake/SeaLake_129.jpg,SeaLake,9,train
5554,eurosat/2750/Forest/Forest_598.jpg,Forest,1,train
724,eurosat/2750/AnnualCrop/AnnualCrop_1650.jpg,AnnualCrop,0,train
366,eurosat/2750/AnnualCrop/AnnualCrop_1328.jpg,AnnualCrop,0,train
19670,eurosat/2750/Residential/Residential_2051.jpg,Residential,7,train
21699,eurosat/2750/River/River_1178.jpg,River,8,train
5951,eurosat/2750/Forest/Forest_955.jpg,Forest,1,train
15408,eurosat/2750/Pasture/Pasture_466.jpg,Pasture,5,train
25528,eurosat/2750/SeaLake/SeaLake_2374.jpg,SeaLake,9,train
497,eurosat/2750/AnnualCrop/AnnualCrop_1446.jpg,AnnualCrop,0,train
24040,eurosat/2750/SeaLake/SeaLake_1034.jpg,SeaLake,9,train
17082,eurosat/2750/PermanentCrop/PermanentCrop_1973.jpg,PermanentCrop,6,train
26701,eurosat/2750/SeaLake/SeaLake_73.jpg,SeaLake,9,train
18697,eurosat/2750/Residential/Residential_1176.jpg,Residential,7,train
9932,eurosat/2750/Highway/Highway_1838.jpg,Highway,3,train
16801,eurosat/2750/PermanentCrop/PermanentCrop_172.jpg,PermanentCrop,6,train
