comparison,metric,difference,ci_low,ci_high
frozen minus handcrafted,accuracy,0.20172839506172846,0.18789506172839504,0.2155555555555555
frozen minus handcrafted,macro_f1,0.21244058910530328,0.1988337001206904,0.2266963704400016
frozen minus handcrafted,log_loss,-0.5776164638354654,-0.6086061438494961,-0.5477032580387956
frozen minus handcrafted,multiclass_brier,-0.2816908150521498,-0.2960780630200425,-0.2676598335603918
fine_tuned minus handcrafted,accuracy,0.23185185185185186,0.21827160493827158,0.24568518518518515
fine_tuned minus handcrafted,macro_f1,0.24392581316212192,0.23091609444732772,0.25764280087007524
fine_tuned minus handcrafted,log_loss,-0.6633433219011827,-0.6993620343480219,-0.628779545362815
fine_tuned minus handcrafted,multiclass_brier,-0.32688935069574576,-0.34275694445000304,-0.3121254322665678
fine_tuned minus frozen,accuracy,0.030123456790123404,0.023703703703703782,0.036790123456790114
fine_tuned minus frozen,macro_f1,0.03148522405681864,0.024877720140796138,0.03855919707433023
fine_tuned minus frozen,log_loss,-0.08572685806571738,-0.10206503145314705,-0.06801473620584224
fine_tuned minus frozen,multiclass_brier,-0.04519853564359595,-0.053137401888954834,-0.03732014624684293
