dataset_index,relative_path,class_name,class_index,handcrafted_index,handcrafted_prediction,handcrafted_confidence,handcrafted_correct,frozen_index,frozen_prediction,frozen_confidence,frozen_correct,fine_tuned_index,fine_tuned_prediction,fine_tuned_confidence,fine_tuned_correct,comparison_category,fine_tuned_error
2548,eurosat/2750/AnnualCrop/AnnualCrop_592.jpg,AnnualCrop,0,5,Pasture,0.3653431677927283,False,5,Pasture,0.911987024,False,5,Pasture,0.84032327,False,both_wrong,True
14801,eurosat/2750/Pasture/Pasture_172.jpg,Pasture,5,5,Pasture,0.8118689369645101,True,5,Pasture,0.629314658,True,0,AnnualCrop,0.7233421,False,new_error_after_fine_tuning,True
7410,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_2268.jpg,HerbaceousVegetation,2,5,Pasture,0.7812940471424968,False,5,Pasture,0.439497262,False,5,Pasture,0.6474846,False,both_wrong,True
15516,eurosat/2750/Pasture/Pasture_563.jpg,Pasture,5,5,Pasture,0.3742626991652615,True,2,HerbaceousVegetation,0.639687175,False,2,HerbaceousVegetation,0.6619097,False,both_wrong,True
14767,eurosat/2750/Pasture/Pasture_169.jpg,Pasture,5,5,Pasture,0.5253883743218407,True,5,Pasture,0.623278838,True,3,Highway,0.8103946,False,new_error_after_fine_tuning,True
22717,eurosat/2750/River/River_2094.jpg,River,8,0,AnnualCrop,0.848587998399719,False,0,AnnualCrop,0.831578329,False,0,AnnualCrop,0.71363515,False,both_wrong,True
1534,eurosat/2750/AnnualCrop/AnnualCrop_238.jpg,AnnualCrop,0,5,Pasture,0.541360090832089,False,6,PermanentCrop,0.898797902,False,6,PermanentCrop,0.88625944,False,both_wrong,True
14993,eurosat/2750/Pasture/Pasture_1893.jpg,Pasture,5,1,Forest,0.7267916440532868,False,5,Pasture,0.597131832,True,1,Forest,0.99440306,False,new_error_after_fine_tuning,True
8807,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_825.jpg,HerbaceousVegetation,2,5,Pasture,0.6505709272345611,False,5,Pasture,0.43390444,False,5,Pasture,0.975204,False,both_wrong,True
16850,eurosat/2750/PermanentCrop/PermanentCrop_1764.jpg,PermanentCrop,6,3,Highway,0.4347870669297008,False,4,Industrial,0.642721811,False,4,Industrial,0.90390223,False,both_wrong,True
14709,eurosat/2750/Pasture/Pasture_1637.jpg,Pasture,5,9,SeaLake,0.6680749467275593,False,1,Forest,0.477080023,False,1,Forest,0.9586723,False,both_wrong,True
14462,eurosat/2750/Pasture/Pasture_1414.jpg,Pasture,5,5,Pasture,0.7306822297870126,True,5,Pasture,0.625524029,True,2,HerbaceousVegetation,0.75139,False,new_error_after_fine_tuning,True
1076,eurosat/2750/AnnualCrop/AnnualCrop_1968.jpg,AnnualCrop,0,0,AnnualCrop,0.7539307828177044,True,6,PermanentCrop,0.657241696,False,6,PermanentCrop,0.9678152,False,both_wrong,True
22985,eurosat/2750/River/River_2335.jpg,River,8,5,Pasture,0.556209078172861,False,5,Pasture,0.835928176,False,5,Pasture,0.792391,False,both_wrong,True
