class_name,fine_tuned_prediction,images
PermanentCrop,AnnualCrop,11
Pasture,AnnualCrop,7
PermanentCrop,HerbaceousVegetation,6
Pasture,Forest,5
River,Highway,5
HerbaceousVegetation,Pasture,5
AnnualCrop,PermanentCrop,5
Residential,Industrial,4
River,AnnualCrop,3
HerbaceousVegetation,PermanentCrop,3
Highway,AnnualCrop,2
PermanentCrop,Industrial,2
Highway,River,2
HerbaceousVegetation,Forest,2
Pasture,HerbaceousVegetation,2
AnnualCrop,Pasture,2
Pasture,River,1
PermanentCrop,Residential,1
PermanentCrop,Highway,1
River,Forest,1
River,Pasture,1
Industrial,Residential,1
Pasture,Highway,1
Industrial,Highway,1
Highway,Residential,1
Highway,PermanentCrop,1
Highway,Pasture,1
Highway,Industrial,1
HerbaceousVegetation,SeaLake,1
HerbaceousVegetation,Residential,1
HerbaceousVegetation,Highway,1
AnnualCrop,SeaLake,1
River,SeaLake,1
